id,Smiles
182,CNCC(O)CN1CCc2c(cccc2NCc2ccccc2)C1
183,COc1cc2nc(C3CCOCC3)nc(NC3CCN(C)CC3)c2cc1OC
184,CN(C)c1cc(Nc2ccccc2F)c2c3c(onc13)-c1ccccc1C2=O
185,CN1CCN(S(=O)(=O)c2ccc(C(=O)N/N=C3\CCc4cccc(O)c43)cc2)CC1
186,O=C1CN(c2ccc(CO)cc2)CCN1CC(O)CN1CCc2ccccc2C1
187,C[C@@H]1C(=O)N(C)CCN1CCOc1ccc(C2CCN(c3ccc4nncn4n3)CC2)cc1
188,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1=C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
189,Cc1cc2c(cc1N1C(=O)c3cccc4c(CCCO)ccc(c34)C1=O)n(C)c(=O)n2C
190,COc1cc2cc(N3CCC(OC)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
191,COCc1cc(CNC(=O)[C@@H](N)CCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)n[nH]1
192,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCCCCNC(=O)Nc2ccccc2)[C@@H](O)[C@H]1O
193,Cc1cc(C2(O)C(=O)Nc3ccc(-c4c(C)noc4C)cc32)ccc1F
194,Cc1ccc(C(=O)NCCOCCC(=O)Nc2ccccc2N)cc1
195,Cc1cc(C)cc(Nc2nccc(-c3c(-c4ccc(F)cc4)nnn3C3CCNCC3)n2)c1
196,Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)cc1C(N)=O
197,C[C@@H]1CC(=O)Nc2cccc(C(=O)NCc3ccccc3)c2N1
198,CCS(=O)(=O)Nc1cc(-c2cn(C)c3c(=O)[nH]ccc23)cc2c1ccn2Cc1c(C)cccc1C
199,CCN(CC)CCCN(Cc1cc2cc(OC)ccc2nc1O)C(=O)Nc1ccc(F)cc1
200,N#Cc1c(Br)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
201,CC(C)Oc1ccc2c(c1)n(C)c(=O)n2C
202,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
203,COC(=O)C(C)N[C@H]1C[C@@H]1c1ccccc1
204,O=[N+]([O-])c1ccc(O)c2ccccc12
205,CCOc1cc(=O)n(C)cc1-c1cc(NCc2cccc(Oc3ccc(OC)cc3)c2)ccc1Oc1ccc(F)cc1F
206,CCOC(=O)c1c(N)sc(C(=O)Nc2cccc([N+](=O)[O-])c2)c1C
207,O=C1NC(=S)NC(=O)C1=Cc1ccc(Sc2ccccc2)o1
208,Cc1noc(C)c1-c1ccc2nc(-c3cnn(CCO)c3)nc(NCc3cccc(Cl)c3)c2c1
209,O=C(CCCCCCCCNc1nc2cc(C(=O)O)ccc2c2cnccc12)NO.O=C(O)C(F)(F)F
210,CC(=O)Nc1ccc(C(=O)COc2cc(C)cc(O)n2)cc1
211,Cc1ccc(CN2C(=O)N(c3ccc(Cl)cc3)C(=O)C2CCC(=O)Nc2ccc(C(=O)NO)cc2)cc1
212,Nc1ccccc1NC(=O)/C=C/CCCNC(=O)c1cccc(Cl)c1
213,Cc1cc(C)nc(SCC(=O)Nc2cccc(COc3ccc(NC(=O)c4cccs4)cc3)c2)n1
214,C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(/C=C/C(=O)NO)n2C
215,O=C(CN1C(=O)COC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1
216,O=c1[nH]c(-c2cc(Br)cc(S(=O)(=O)NC3CCCC3)c2)cs1
217,Cc1ccc(C(=O)C[n+]2cccc3cccc(O)c32)cc1
218,O=C(NCC1CCN(Cc2ccccc2Cl)CC1)Nc1cccc(Cl)c1
219,CCN(CCC(C)(C)C)Cc1c(CCC(C)C)nc2cc(/C=C/C(=O)NO)ccn12
220,Cc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1N
221,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CCCCCCC(=O)NO)c3n2)cc1
222,NC(=O)C1CCCc2c(-c3cc4ccccc4o3)n[nH]c21
223,O=C(O)c1ccnc(-c2ccccn2)c1
224,CCN(c1cc(-c2cccnc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1
225,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2cc(-c3ccccc3)[nH]n2)[C@@H](O)[C@H]1O
226,O=C(NO)c1ccc(NC(=O)C2(c3ccccc3)CCCCC2)cc1
227,Cl.Cl.O=C(NCCCNCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1
228,C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1
229,Cc1cccc(C)c1Nc1ncc(C(=O)NCCCCCCC(=O)NO)cn1
230,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCNC[C@@H]1C)n(C)c(=O)n2C
231,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCCC(=O)N2)c1
232,Cc1noc(C)c1-c1ccc(=O)n(Cc2cccc(F)c2)c1
233,CC1=NOC(=O)/C1=C/c1c(COCc2ccc(C(F)(F)F)cc2)n(C)c2ccc(F)cc12
234,Brc1ccccc1CN[C@H]1C[C@@H]1c1ccccc1
235,NC(=O)c1ccccc1Nc1cccc(Oc2ccccc2)c1
236,COC(c1ccccc1)(c1ccncc1)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1
237,Cc1noc(C)c1-c1ccc2c(c1)C(Cl)(c1ccccc1)C(=O)N2
238,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
239,Cn1cc2ccc(-c3ccnc(NCC(O)CN4CCc5ccccc5C4)c3)cc2n1
240,N=C(N)NCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc([N+](=O)[O-])ccc23)cc1
241,COc1cc2nc(N3CCCCC3)nc(NC3CCN(C)CC3)c2cc1OC
242,CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5ccc(N6CCCCC6)cc5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1
243,O=c1ncn(Cc2ccccc2)c2cnccc12
244,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
245,CO/N=C(\Cc1ccc(OC)c(Br)c1)C(=O)NCCSC
246,Cn1cc(-c2cc(S(=O)(=O)N3CCc4ccccc43)ccc2OCC2CC2)c2cc[nH]c2c1=O
247,Cc1ccc(C(=O)Nc2cccc3cccc(S(=O)(=O)O)c23)cc1N
248,O=C(c1ccc(-c2nc(Cc3cccs3)no2)s1)C(F)(F)F
249,CCC(Oc1ccccc1)c1nn2c(-c3ccco3)nnc2s1
250,Nc1ccccc1NC(=O)c1ccc(CNC(=O)CN2C(=O)C3(OCCCO3)c3cc(Cl)ccc32)cc1
251,Cc1noc(C)c1-c1ccc2c(c1)C(N)(c1ccccc1)C(=O)N2
252,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O
253,Cn1cc2c(OCC(=O)NCC(O)CN3CCc4ccccc4C3)cccc2n1
254,O=c1[nH]c(-c2cccc(Br)c2)nc2sc3c(c12)CCC3
255,CCS(=O)(=O)c1ccc(Oc2cccc(-c3c(C)noc3C)c2)c(-c2cn(C)c(=O)c3cncn23)c1
256,COc1n[nH]cc1C(=O)N1CCN(CC(C)O)CC1
257,O=C(CCCCCN1C(=O)c2cccc3c(Nc4ccccc4)ccc(c23)C1=O)NO
258,N#C/C(C(N)=O)=c1/ccc2c(c1)N1C3=C(CCCC3)CC3CCCCC31N=2
259,Cc1cccc(CNc2ccc([C@H]3C[C@@H]3NC3CCC(N)CC3)cn2)c1
260,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)CCc1nc(-c2ccncc2)no1
261,CCS(=O)(=O)Nc1ccc2c(c1)-c1c[nH]c(=O)c3c1c(cn3C)CN2c1ccccn1
262,CC(C)c1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
263,Cc1noc(C)c1-c1ccc2c(c1)C(c1ccccc1)(N1CC[C@@H](N)C1)C(=O)N2
